recipe_id,title,url,source,image_id,image_url,category,cuisine,servings,ratings,ratings_count,diet,diets
00000001,Barb's Gumbo,https://www.food.com/recipe/barbs-gumbo-82288,food.com,00000001,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/82/28/8/cB14froTlmpDfRF49wmQ_gumbo%20SITE-3.jpg",Gumbo,Cajun And Creole,4,5,67,non-vegetarian,['non-vegetarian']
00000002,Flemish Beef Roast (or Stew) With Vegetables,https://www.food.com/recipe/flemish-beef-roast-or-stew-with-vegetables-102212,food.com,00000002,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/gk-static/fdc-new/img/fdc-shareGraphic.png",Stew,European,8,0,0,non-vegetarian,['non-vegetarian']
00000003,Bourbon Chicken,https://www.food.com/recipe/bourbon-chicken-45809,food.com,00000003,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/45/80/9/MwuCd6HpQ5mDvn4OLRkA_0S9A9886.jpg",Chicken Breast,Asian,4,5,3101,non-vegetarian,['non-vegetarian']
00000004,Best Banana Bread,https://www.food.com/recipe/best-banana-bread-2886,food.com,00000004,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/28/86/wBZxNua1T8yfDwbfo9Fz_0S9A9315.jpg","Bread, Quick Breads",Other,1,5,2345,pescetarian,['non-vegetarian']
00000005,To Die for Crock Pot Roast,https://www.food.com/recipe/to-die-for-crock-pot-roast-27208,food.com,00000005,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/27/20/8/LoLdAamfR02FY46yIy0B_crockpot-roast-4637.jpg",One Dish Meal,Other,8,5,1707,non-vegetarian,['non-vegetarian']
00000006,Crock-Pot Chicken With Black Beans & Cream Cheese,https://www.food.com/recipe/crock-pot-chicken-with-black-beans-cream-cheese-89204,food.com,00000006,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/89/20/4/uxMwt1VGQ5m2ePyzwHWy_salsa-chicken-black-beans-2312.jpg",One Dish Meal,Other,4,4.5,1661,non-vegetarian,['non-vegetarian']
00000007,Creamy Cajun Chicken Pasta,https://www.food.com/recipe/creamy-cajun-chicken-pasta-39087,food.com,00000007,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/39/08/7/VPeSMiYHRce4BWsyj7Nl_0S9A5582.jpg",Chicken Breast,Cajun And Creole,2,5,1608,non-vegetarian,['non-vegetarian']
00000008,Oatmeal Raisin Cookies,https://www.food.com/recipe/oatmeal-raisin-cookies-35813,food.com,00000008,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/35/81/3/KU3JVxMDRriISEG3KdPy_0S9A9740.jpg","Snack, Drop Cookies",Other,36,5,1455,pescetarian,['non-vegetarian']
00000009,Best Ever Banana Cake With Cream Cheese Frosting,https://www.food.com/recipe/best-ever-banana-cake-with-cream-cheese-frosting-67256,food.com,00000009,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/67/25/6/ErcPhaBVS2OMnh07iiZf_banana-cake-with-cream-cheese-frosting-08.jpg",Dessert,Other,1,5,1437,pescetarian,['non-vegetarian']
00000010,"Yes, Virginia There is a Great Meatloaf",https://www.food.com/recipe/yes-virginia-there-is-a-great-meatloaf-54257,food.com,00000010,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/54/25/7/1O1KC1wTKTskFlseYbws_0S9A6432.jpg",Meatloaf,Other,5,5,1407,non-vegetarian,['non-vegetarian']
