recipe_id,calories,fat,saturated_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein
00000001,307.5,15.9,1.5,71.4,1292.7,27.4,4.6,7.2,15.7
00000002,668.8,26.6,9.4,240.5,881.3,21.5,0.3,13.3,77.9
00000003,521.4,24.5,6.5,145.3,1573,23.4,0.3,21.5,50.1
00000004,272.8,10.5,6.2,61.6,338.3,42.5,1.4,24.4,3.7
00000005,295.2,9.7,3.9,149.8,380.6,2.6,0.1,0,49.5
00000006,679.2,35,15.2,155.3,913.4,50.1,11.2,9.9,45.9
00000007,719.1,41.1,24,198.6,816.8,47.4,2.5,3.1,39.3
00000008,188.6,6.4,3.5,23.9,117.1,30.3,1.8,15.1,3.5
00000009,503.5,20.6,12.3,89.5,365.4,75.7,1,55.7,5.5
00000010,493.1,28.1,11,165.2,1260.5,23.2,0.4,18.9,35.5
00000011,555.9,26.3,9,51.8,2058.6,50.1,3.8,11.4,29.8
00000012,390.7,20,10.2,40.3,189.3,52,3.4,40.4,6.1
00000013,0,0,0,0,7.5,0,0,0,0
00000014,99.8,4,2.3,30.3,210.2,13.1,0.4,1.5,2.8
00000015,422.1,16,9.8,40.7,707.9,58.7,1.7,8.5,6.9
00000016,1312.6,84.2,35,469.4,2615.7,25.1,2.1,2.1,107.2
00000017,313.1,12.7,3.5,118.3,1470.5,15.8,0.4,13.6,31.1
00000018,512.6,21,7.4,46.3,1472.8,58.7,6.5,4.1,21.7
00000019,452.1,26.1,14.8,136.7,852.6,18.6,1.4,1.5,34.9
00000020,233.8,8.8,5.2,51.3,237.2,36.1,1.3,17,3.6
00000021,288.3,16.7,10.5,49.6,682.2,24.3,2.3,0.9,11
00000022,150.1,7.1,0.9,0,731.4,20,0.6,7.8,3.5
00000023,353.9,16.8,6.5,46,717.9,31.5,2.4,2.2,18.7
00000024,507.3,29.5,13.9,85.4,755.8,35.6,2.3,3.7,24.3
00000025,836.2,52.6,32.5,164.7,895.5,63.6,2.6,2.8,27.5
00000026,162.6,7.4,4.5,19.3,400.1,20.6,0.7,1.2,3.5
00000027,182.3,8.2,5,35.8,150.7,25.5,0.6,14.1,2.1
00000028,349.6,21,11.4,62.5,938,29.6,3.4,3.7,11.4
00000029,327,23.5,6.7,106.9,2426.8,2.2,0.9,0.2,25.6
00000030,538.3,35.3,10.1,14.9,1113.7,46.9,4.4,3.1,8.8
