recipe_id,prep_time,cook_time,total_time
00000001,25,40,65
00000002,60,240,300
00000003,15,20,35
00000004,10,60,70
00000005,5,540,545
00000006,3,240,243
00000007,10,15,25
00000008,15,11,26
00000009,15,60,75
00000010,20,60,80
00000011,20,60,80
00000012,10,25,35
00000013,2,360,362
00000014,5,5,10
00000015,3,60,63
00000016,20,30,50
00000017,5,40,45
00000018,20,30,50
00000019,20,40,60
00000020,15,60,75
00000021,15,60,75
00000022,15,10,25
00000023,20,25,45
00000024,25,20,45
00000025,20,20,40
00000026,10,12,22
00000027,10,15,25
00000028,15,45,60
00000029,900,480,1380
00000030,60,45,105
