,Missing_fraction
RIDAGEYR,0.0
BMXBMI,0.008453436807095344
BMXWAIST,0.030349223946784923
LBXSATSI,0.07621951219512195
LBXSASSI,0.08009977827050997
LBXGH,0.050582039911308205
LBXTC,0.07067627494456763
LBDHDD,0.07067627494456763
DR1TKCAL,0.07136917960088691
DR1TPROT,0.07136917960088691
DR1TCARB,0.07136917960088691
DR1TTFAT,0.07136917960088691
BMXWT,0.007344789356984479
BMXHT,0.007206208425720621
LBXSGTSI,0.07621951219512195
LBXSTR,0.07608093126385809
LBXSGL,0.07608093126385809
LBXSUA,0.07608093126385809
LBXSAL,0.07566518847006652
LBXSTP,0.07608093126385809
LBXSGB,0.07608093126385809
LBXSAPSI,0.07608093126385809
LBXSTB,0.07594235033259424
LBXSCR,0.07594235033259424
LBXSBU,0.07608093126385809
LBXSCA,0.07608093126385809
LBXSPH,0.07608093126385809
LBXSKSI,0.07677383592017738
LBXSNASI,0.07580376940133038
LBXSCLSI,0.07580376940133038
LBXSC3SI,0.07608093126385809
LBXSIR,0.07621951219512195
LBXSLDSI,0.09659090909090909
LBXSCK,0.07649667405764966
RIAGENDR,0.0
RIDRETH3,0.0
