Feature,Importance
numeric__BMXWAIST,0.3768698
numeric__BMXBMI,0.15792155
numeric__LBXSATSI,0.0626433
numeric__LBXGH,0.05804614
categorical__RIDRETH3_4.0,0.054339215
categorical__RIDRETH3_6.0,0.036721975
numeric__RIDAGEYR,0.036330797
numeric__LBDHDD,0.034451604
categorical__RIAGENDR_2.0,0.02619594
numeric__LBXTC,0.021341207
categorical__RIDRETH3_3.0,0.019576212
numeric__LBXSASSI,0.017369563
numeric__DR1TKCAL,0.017108176
numeric__DR1TCARB,0.01691196
categorical__RIDRETH3_2.0,0.016606716
numeric__DR1TPROT,0.016238816
categorical__RIDRETH3_7.0,0.015981918
numeric__DR1TTFAT,0.015345182
