Model,Inputs,MAE,RMSE,R2
equal_blend_top_two,28,34.37416034368612,44.45450214146377,0.5022094523617554
expanded_xgb_missing_flags,28,34.42119314612412,44.50042230957251,0.501180515778674
expanded_xgb_d4_n700,28,34.41836591623311,44.51490030380982,0.5008558860314074
expanded_xgb_d4_n350,28,34.459253008772684,44.52860041005805,0.500548601070862
expanded_xgb_d3_n600,28,34.4764005529907,44.54421555416232,0.500198247681785
expanded_spline_ridge100,28,34.635321068489795,44.64737916391262,0.497880502947753
expanded_spline_ridge10,28,34.66333143921204,44.694292864926986,0.49682473392365667
extended_xgb_missing_flags,19,34.60055770155067,44.72693077245537,0.4960895803713474
expanded_hist_leaves7,28,34.62669444538367,44.728431441183616,0.4960557656077814
expanded_hist_leaves15,28,34.61119874958644,44.75733525983113,0.4954042507396704
extended_xgb_d4_n350,19,34.64648415508397,44.78627770118246,0.49475144356400114
extended_xgb_d4_n700,19,34.67823753018601,44.809196309893245,0.49423420670528617
extended_xgb_d3_n600,19,34.70111595077684,44.83673294100746,0.49361239839185644
extended_spline_ridge100,19,34.78100988526598,44.89433360077196,0.492310474995052
extended_hist_leaves15,19,34.74571273545765,44.89957397818518,0.49219194600569127
extended_spline_ridge10,19,34.78537526655626,44.911353818049264,0.49192545428952716
extended_hist_leaves7,19,34.80173533356695,44.93998684916813,0.4912774065040246
original_xgb_d4_n350,14,34.92015906289517,45.034472705011495,0.4891359897709352
original_xgb_missing_flags,14,34.91154050932755,45.05113226822832,0.48875795290480073
original_spline_ridge100,14,34.94168654179192,45.0516445748754,0.4887463254861323
original_spline_ridge10,14,34.93203070543871,45.054396562152206,0.4886838635452613
original_xgb_d4_n700,14,34.96033150235195,45.07420430931432,0.48823417393141966
original_xgb_d3_n600,14,34.93078993905146,45.07863758339655,0.4881334995088098
original_hist_leaves7,14,35.05245256504568,45.23058651077402,0.4846769331906532
original_hist_leaves15,14,35.109791315498526,45.32632363404274,0.4824931118115261
