Feature,Importance
BMXWAIST,0.21055894
FLI,0.14472264
WHtR,0.10071459
BMXBMI,0.03773947
RIDRETH3_4.0,0.033234496
AST_ALT,0.02617862
LBXSGL,0.021767912
TG_HDL,0.020526087
LBXGH,0.020349683
BMXWT,0.019083379
LBXSTR,0.016692672
RIDRETH3_6.0,0.016012073
HSI,0.015462815
LBXSATSI,0.014658876
RIAGENDR_2.0,0.013391738
LBXSGTSI,0.012887967
RIDAGEYR,0.011961631
LBDHDD,0.009721806
LBXSCR,0.009665759
TC_HDL,0.009609862
LBXSBU,0.009475455
LBXSAL,0.00940627
LBXSUA,0.009346054
LBXSASSI,0.009158042
LBXSLDSI,0.008583591
DR1TTFAT,0.00843799
LBXSPH,0.008302392
LBXSNASI,0.00817792
LBXSC3SI,0.008028038
LBXSIR,0.008023604
pct_fat,0.007941624
pct_carb,0.007922259
BMXHT,0.007839272
kcal_per_kg,0.0077459835
LBXTC,0.0077079614
DR1TKCAL,0.0076378263
RIDRETH3_7.0,0.0076058707
LBXSTP,0.007599971
DR1TCARB,0.007486602
DR1TPROT,0.007385718
LBXSCK,0.007285516
LBXSAPSI,0.0072549414
LBXSKSI,0.0072229565
LBXSGB,0.00721031
RIDRETH3_2.0,0.007193108
LBXSTB,0.00715987
pct_prot,0.007143801
LBXSCLSI,0.007040437
RIDRETH3_3.0,0.006960137
LBXSCA,0.006775413
